"Lauksaimniecības kultūraugu sējumu platība – Kultūraugi un Laika periods"

"Kultūraugi";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Vasaras tritikāle";…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;2.7;1.8;1.5;0.8;1.3;0.8;0.6;…
"Auzas";45.5;55.2;47.1;49.4;56.7;58.0;62.9;62.4;66.2;60.6;63.3;59.3;62.0;62.4;66.8;60.3;64.6;70.9;90.5;84.3;98.9;90.1;81.6
"Griķi";6.2;10.6;10.5;6.5;9.7;10.4;14.0;10.7;10.4;10.1;8.2;9.5;11.7;10.6;10.2;10.5;17.9;30.9;27.9;16.2;15.7;19.9;28.9
"Vārpaugu mistrs";5.3;4.1;3.4;2.9;3.3;3.7;4.9;3.0;2.7;2.5;3.6;3.8;3.8;1.2;4.6;0.9;0.6;0.8;0.5;0.5;0.4;0.4;…
"Vārpaugu un pākšaugu mistrs";9.3;7.9;5.8;6.0;7.6;8.1;6.6;6.0;4.3;5.2;5.6;5.7;4.2;9.2;8.2;5.1;6.5;5.3;5.4;6.6;6.5;5.9;…
"Pākšaugi";2.1;3.2;2.5;2.9;2.6;2.2;1.4;1.6;1.6;2.5;2.7;3.8;4.6;7.0;11.9;31.6;41.8;57.4;53.7;40.4;43.7;50.1;…
"Zirņi";1.4;2.1;1.9;2.1;1.5;1.6;0.8;0.9;0.7;1.3;1.2;1.2;1.3;2.4;3.0;4.0;8.9;14.1;11.6;13.9;14.3;14.7;…
"Pupiņas";0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.0;0.1;0.2;0.4;0.4;0.2;0.3;1.5;0.8;0.0;0.4;0.1;0.6;0.2;…
"Lauka pupas";0.1;0.1;0.2;0.2;0.4;0.4;0.5;0.5;0.8;1.1;1.3;2.2;2.8;4.4;8.4;25.9;31.4;42.5;41.1;25.7;28.1;34.2;…
"Vīķi";0.3;0.8;0.2;0.3;0.3;0.1;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.5;0.3;0.2;0.5;0.5;0.7;…
"Lupīna";0.2;0.1;0.1;0.1;0.3;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.2;0.1;0.2;0.5;0.4;0.2;0.2;0.2;…
"Tehniskie kultūraugi (bez cukurbietēm)";10.4;11.1;22.1;29.0;58.4;75.2;87.0;101.6;86.3;96.5;114.4;125.4;120.1;130.7;102.6;91.0;105.3;122.4;129.4;145.1;151.5;152.0;…
"Eļļas lini/ linsēklas";0.3;0.4;1.6;1.8;0.1;0.2;0.2;0.1;0.2;0.2;1.1;1.4;0.3;0.1;0.5;0.2;0.1;0.3;0.1;0.1;0.1;0.1;…
"Garšķiedras lini/ linu stiebriņi";1.6;1.4;2.1;2.1;2.7;2.2;1.5;1.4;0.4;0.1;0.0;0.1;0.6;0.2;0.1;0.1;0.1;0.0;0.0;0.1;0.1;0.1;…
"Rapsis";6.9;8.4;18.4;25.9;54.3;71.4;83.2;99.2;82.6;93.3;110.6;121.3;117.5;128.2;100.1;89.0;101.1;117.4;123.6;140.1;145.9;146.9;160.4
"Ziemas rapsis";2.7;3.5;8.1;3.1;15.1;22.9;26.9;50.4;48.8;60.8;67.6;44.2;63.9;77.6;53.9;68.4;75.1;90.0;74.1;116.4;127.7;132.2;139.4
"Vasaras rapsis";4.2;4.9;10.3;22.8;39.2;48.5;56.3;48.8;33.8;32.5;43.0;77.1;53.6;50.6;46.2;20.6;26.0;27.3;49.5;23.7;18.2;14.7;21.0
"Ripsis";…;…;0.6;0.4;0.7;0.3;1.0;0.4;2.6;2.2;0.8;0.6;0.2;1.1;0.5;0.3;0.9;0.6;1.4;2.0;3.3;2.5;…
"Ķimenes";0.1;0.1;0.4;0.4;0.3;0.9;0.4;0.3;0.3;0.4;0.6;0.6;0.5;0.3;0.3;0.8;1.5;1.6;1.7;1.2;0.6;0.7;…
"Kaņepes/kaņepju sēklas";…;…;…;…;…;…;…;…;…;…;…;…;…;0.1;0.1;0.1;0.3;0.5;0.8;0.7;0.7;0.8;…
"Kaņepes/kaņepju stiebri";…;…;…;…;…;…;…;…;…;…;…;…;…;0.0;0.0;0.0;0.1;0.1;0.1;0.2;0.0;0.0;…
"Ārstniecības augi";0.1;0.1;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.2;0.1;0.2;1.2;1.1;1.0;0.4;0.4;0.4;…
"Pārējie tehniskie kultūraugi";1.4;0.7;0.4;0.1;0.2;0.2;0.7;0.2;0.2;0.3;1.2;1.4;0.9;0.6;1.0;0.4;0.4;0.2;0.7;0.3;0.3;0.6;…
"Cukurbietes";12.7;14.1;15.9;14.4;13.8;13.5;12.7;0.3;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
"Lopbarības saknes";9.0;9.6;7.5;7.1;5.6;3.8;2.8;2.3;0.9;0.7;0.9;0.8;0.6;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;…
"Kartupeļi";51.3;55.1;53.6;54.6;48.9;45.1;45.1;40.3;37.8;30.0;30.1;29.7;28.2;27.3;26.8;24.8;23.3;22.7;22.3;22.4;18.1;16.3;7.5
"Dārzeņi, pavisam";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;…;…;…;…;…
"Atklātā lauka dārzeņi";9.7;13.3;12.5;14.3;13.5;12.9;13.4;11.0;9.5;8.2;8.1;8.1;8.1;8.5;8.2;8.1;8.1;8.0;8.2;8.4;8.3;7.4;…
"Kāposti";2.3;3.6;3.1;3.2;3.5;3.1;3.7;2.4;2.5;2.5;2.4;2.2;2.2;2.1;2.4;2.8;2.2;1.9;1.8;1.9;1.6;1.4;…
"Ziedkāposti";0.4;0.3;0.3;0.3;0.2;0.1;0.1;0.2;0.2;0.1;0.2;0.1;0.3;0.2;0.3;0.2;0.1;0.2;0.2;0.2;0.1;0.1;…
"Puravi";…;0.0;0.1;0.1;0.1;0.1;0.2;0.0;0.1;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.0;0.1;…
"Salāti";0.0;0.0;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.0;…
"Sīpoli lociņiem";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;…
"Gurķi";0.5;0.9;1.2;1.3;1.0;1.1;1.2;0.7;0.2;0.1;0.2;0.2;0.2;0.2;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.2;…
"Tomāti";0.0;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;…
"Bietes";1.5;2.0;1.7;2.1;1.8;1.8;2.1;1.8;1.3;1.2;1.0;0.9;1.2;1.0;1.2;1.1;1.1;0.7;0.8;0.9;0.8;0.7;…
"Burkāni";2.6;3.6;2.3;2.7;2.5;2.8;2.3;2.2;2.2;1.8;1.8;1.6;1.4;1.5;1.5;0.9;1.5;1.5;1.5;1.6;1.4;1.4;…
"Sīpoli";1.4;1.0;1.6;1.7;2.1;1.7;1.4;1.3;1.4;1.5;1.1;1.3;1.3;0.9;1.2;0.9;0.8;1.2;1.2;1.1;1.2;1.1;…
"Ķiploki";0.1;0.2;0.3;0.4;0.2;0.2;0.2;0.3;0.1;0.1;0.0;0.1;0.1;0.2;0.1;0.2;0.2;0.5;0.6;0.7;0.8;0.6;…
"Zaļie zirnīši";0.0;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.1;0.0;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;…
"Mārrutki";0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.2;0.0;0.2;0.2;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;…
"Kabači un ķirbji";0.1;0.4;0.3;0.4;0.4;0.4;0.5;0.4;0.1;0.1;0.2;0.2;0.2;0.4;0.4;0.5;0.7;0.6;0.6;0.7;0.7;0.7;…
"Pārējie dārzeņi";0.5;0.9;1.0;1.4;1.2;1.2;1.3;1.4;0.9;0.6;0.6;1.0;0.8;1.7;0.8;1.0;1.1;1.0;1.1;1.0;1.5;1.1;…
"Lopbarības-zaļbarības kultūraugi";359.9;313.8;343.5;294.6;315.1;372.2;440.8;443.3;427.2;430.8;400.7;387.8;382.6;384.8;341.4;338.5;334.5;297.6;300.2;300.7;299.4;296.6;…
"Ilggadīgie zālāji";347.2;304.4;335.1;282.9;302.3;360.6;425.8;427.1;413.1;413.7;387.3;370.8;351.4;356.7;312.4;304.3;298.7;270.3;272.6;273.3;274.5;269.4;…
"Ilggadīgie zālāji sēklai";2.3;4.9;3.0;2.8;3.8;5.1;3.5;3.6;5.9;4.4;6.1;7.0;6.4;5.8;5.1;3.4;4.5;4.8;4.9;5.7;6.7;8.3;…
"Ilggadīgo zālāju siens";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;X;X;X;X;…
"Pļavu un ganību siens";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…
"Zaļbarības un skābbarības kultūraugi (bez kukurūzas)";11.4;8.4;7.2;9.9;9.9;8.7;11.4;11.1;8.2;7.2;6.3;5.7;10.6;7.7;7.3;8.6;8.5;1.6;2.0;2.0;1.6;1.6;…
"Kukurūza skābbarībai un zaļbarībai";1.2;1.0;1.2;1.7;2.9;2.9;3.5;5.1;5.9;9.8;7.1;11.3;20.6;20.4;21.7;25.6;27.3;25.7;25.6;25.4;23.3;25.6;…
"Zaļmēslojuma kultūraugi";6.0;4.7;4.1;4.8;2.9;3.7;3.2;1.9;1.8;1.3;1.7;1.7;0.5;1.3;1.1;1.1;1.9;0.6;1.0;0.7;0.8;0.7;…
"Nektāraugi";…;1.2;1.0;0.9;1.7;2.1;4.5;2.0;2.2;1.2;2.6;2.8;2.8;2.7;3.1;1.1;2.8;1.9;2.8;1.9;1.5;2.8;…
